State,Goods,Housing,Utilities,Others,,,,,,,,
Alabama,94.623,57.525,88.117,96.956,,,,,,,,
Alaska,105.527,96.773,104.099,101.333,,,,,,,,
Arizona,98.112,106.287,86.956,100.029,,,,,,,,
Arkansas,92.998,55.793,81.084,96.087,,,,,,,,
California,108.348,160.15,147.076,103.752,,,,,,,,
Colorado,101.224,129.614,89.377,96.171,,,,,,,,
Connecticut,101.249,119.368,140.121,105.109,,,,,,,,
Delaware,94.798,98.865,94.685,100.093,,,,,,,,
District of Columbia,107.718,177.172,104.838,104.458,,,,,,,,
Florida,98.096,116.337,94.453,101.126,,,,,,,,
Georgia,97.859,87.689,98.788,96.855,,,,,,,,
Hawaii,111.845,132.093,201.18,102.143,,,,,,,,
Idaho,95.844,87.731,66.413,91.965,,,,,,,,
Illinois,102.771,94.106,90.508,102.887,,,,,,,,
Indiana,94.183,70.636,87.968,97.934,,,,,,,,
Iowa,93.337,67.062,97.658,92.045,,,,,,,,
Kansas,93.679,69.934,107.099,93.075,,,,,,,,
Kentucky,94.049,62.27,81.426,96.928,,,,,,,,
Louisiana,93.859,66.859,82.963,97.51,,,,,,,,
Maine,101.102,83.54,136.485,106.261,,,,,,,,
Maryland,103.062,122.957,101.712,101.165,,,,,,,,
Massachusetts,107.319,128.642,151.305,104.696,,,,,,,,
Michigan,93.043,80.852,97.3,97.805,,,,,,,,
Minnesota,100.04,97.337,89.948,96.738,,,,,,,,
Mississippi,94.178,56.753,81.003,96.929,,,,,,,,
Missouri,96.747,69.328,85.515,94.917,,,,,,,,
Montana,96.199,74.554,72.771,92.764,,,,,,,,
Nebraska,94.019,73.348,84.615,92.486,,,,,,,,
Nevada,97.001,111.773,82.47,92.184,,,,,,,,
New Hampshire,104.611,121.349,147.692,105.117,,,,,,,,
New Jersey,104.702,135.685,104.522,104.95,,,,,,,,
New Mexico,97.555,75.723,83.874,92.472,,,,,,,,
New York,104.335,124.602,128.765,104.356,,,,,,,,
North Carolina,95.823,78.776,83.966,99.623,,,,,,,,
North Dakota,94.182,65.297,83.019,92.63,,,,,,,,
Ohio,92.168,72.774,89.437,97.612,,,,,,,,
Oklahoma,93.48,63.169,83.459,96.552,,,,,,,,
Oregon,109.029,110.418,89.543,104.554,,,,,,,,
Pennsylvania,97.025,86.389,108.696,98.042,,,,,,,,
Rhode Island,101.122,104.534,132.916,105.716,,,,,,,,
South Carolina,94.63,78.754,91.882,99.333,,,,,,,,
South Dakota,94.002,64.903,88.27,91.72,,,,,,,,
Tennessee,94.401,76.778,77.99,96.509,,,,,,,,
Texas,97.124,97.014,88.737,98.544,,,,,,,,
Utah,94.705,105.32,71.494,92.368,,,,,,,,
Vermont,100.566,89.003,118.251,105.285,,,,,,,,
Virginia,100.734,107.738,93.014,101.893,,,,,,,,
Washington,113.403,127.62,84.368,104.423,,,,,,,,
West Virginia,94.675,53.88,85.041,100.97,,,,,,,,
Wisconsin,92.315,77.488,89.258,97.696,,,,,,,,
Wyoming,96.69,78.98,76.38,93.76,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,